n,m,fidelity_avg
1427,1,0.761
1428,1,0.7615
1429,1,0.76
1430,1,0.76
1431,1,0.762
1432,1,0.7585
1433,1,0.7585
1434,1,0.7575
1435,1,0.7575
1436,1,0.7575
1437,1,0.7575
1438,1,0.76
1439,1,0.7595
1440,1,0.7585
1441,1,0.7585
1442,1,0.7585
1443,1,0.757
1444,1,0.7575
1445,1,0.756
1446,1,0.754
1447,1,0.758
1448,1,0.7585
1449,1,0.7565
1450,1,0.755
1451,1,0.7615
1452,1,0.76
1453,1,0.7615
1454,1,0.7575
1455,1,0.7615
1456,1,0.7595
1457,1,0.7585
1458,1,0.758
1459,1,0.7605
1460,1,0.7615
1461,1,0.762
1462,1,0.7575
1463,1,0.758
1464,1,0.758
1465,1,0.757
1466,1,0.7565
1467,1,0.755
1468,1,0.7535
1469,1,0.755
1470,1,0.756
1471,1,0.7555
1472,1,0.7585
1473,1,0.755
1474,1,0.7535
1475,1,0.755
1476,1,0.7545
1477,1,0.7535
1478,1,0.7515
1479,1,0.753
1480,1,0.752
1481,1,0.751
1482,1,0.753
1483,1,0.754
1484,1,0.7545
1485,1,0.754
1486,1,0.752
1487,1,0.7545
1488,1,0.755
1489,1,0.753
1490,1,0.7525
1491,1,0.7535
1492,1,0.7525
1493,1,0.753
1494,1,0.7555
1495,1,0.7545
1496,1,0.7535
1497,1,0.751
1498,1,0.7555
1499,1,0.7525
1500,1,0.7555
1501,1,0.757
1502,1,0.7545
1503,1,0.7565
1504,1,0.753
1505,1,0.7545
1506,1,0.7555
1507,1,0.7565
1508,1,0.7575
1509,1,0.758
1510,1,0.7585
1511,1,0.7595
1512,1,0.7595
1513,1,0.76
1514,1,0.761
1515,1,0.76
1516,1,0.7605
1517,1,0.759
1518,1,0.757
1519,1,0.759
1520,1,0.7585
1521,1,0.757
1522,1,0.7565
1523,1,0.7575
1524,1,0.756
1525,1,0.754
1526,1,0.757
1527,1,0.755
1528,1,0.7525
1529,1,0.7515
1530,1,0.753
1531,1,0.752
1532,1,0.7515
1533,1,0.7515
1534,1,0.754
1535,1,0.753
1536,1,0.753
1537,1,0.751
1538,1,0.7525
1539,1,0.7495
1540,1,0.7515
1541,1,0.7505
1542,1,0.7525
1543,1,0.7505
1544,1,0.7505
1545,1,0.753
1546,1,0.749
1547,1,0.7475
1548,1,0.748
1549,1,0.747
1550,1,0.7445
1551,1,0.745
1552,1,0.7455
1553,1,0.744
1554,1,0.746
1555,1,0.747
1556,1,0.749
1557,1,0.7445
1558,1,0.745
1559,1,0.7465
1560,1,0.7475
1561,1,0.748
1562,1,0.7485
1563,1,0.749
1564,1,0.748
1565,1,0.7465
1566,1,0.746
1567,1,0.7485
1568,1,0.748
1569,1,0.7455
1570,1,0.748
1571,1,0.745
